answer, option_b, option_d, option_c
D, "Causes megaloblastic anemia", "Good muscle relaxant", "Causes diffusion hypoxia"
C, "Desflurane", "Thiopentone", "Ketamine"
B, "Good analgesic action ", "Decrease IOT", "Decrease ICT"
C, "Etomidate", "N2O", "Ketamine"
C, "Sensitises heart to adrenaline", "Causes malignant hyperthermia", "Constricts bronchii"
B, "Etomidate", "Ketamine", "Thiopentone"
B, "Retrograde amnesia", "Decreased cardiovascular effects as compared to propofol", "Causes tachyphylaxis during high dose infusions"
B, "Remifentanil", "Fentanyl", "Alfentanil"
D, "Pethidine", "Alfentanil", "Fentanyl"
B, "Decreases absorption of LA", "Increases metabolism of LA", "Decreases duration of LA"
D, "Lidocaine", "Chlorprocaine", "Ropivacaine"
A, "Procaine", "Chlorprocaine", "Lidocaine"
C, "Raised intracranial tension", "Infection at injection site", "Hypertension"
C, "Preloading with crystalloids", "Head end should be elevated", "Finer I.P. needle should be used"
D, "< 100/min", "< 60/min", "< 80/min"
B, "lohexol", "None", "Iothalamate"
A, "MRI", "USG", "PET"
A, "NMR imaging", "Xeroradiography", "X-ray diffraction"
B, "Fat", "CSF", "Kidney"
B, "PET scan", "Radionuclide scan", "MRI scan"
C, "Emphysema", "Poland syndrome", "Pneumonectomy"
C, "Peripheral prunning", "None", "Narrowing of central arteries"
A, "Left ventricle", "Right ventricle", "Right atrium"
D, "Scleroderma", "Diffuse esophagus spasm", "Achalasia cardia"
B, "Carcinoma esophagus", "Diffuse esophageal spasms", "Cork screw esophagus"
A, "Valvulae conniventes", "More number of loops ", "String of beads sign"
B, "CHPS", "Achalasia", "Gastric ulcer"
C, "53 Cr Study", "99 Tc Pyrophosphate", "99 Tc DMSA"
B, "Hydronephrosis", "Hypernephroma", "Chronic pyelonephritis"
B, "MRI", "PET", "USG"
A, "USG", "X-ray", "CT"
A, "CT substraction angiography", "Angiography (DSA)", "MRI"
C, "A metastatic tumour in the bone", "An Ewing's sarcoma", "An Osteogenic sarcoma"
C, "Osteoporosis", "Bone infarct", "Osteopetrosis"
C, "Osteomalacia", "Beri-Beri", "Scurvy"
A, "Perthe's disease", "None", "CTEV"
A, "Fungal infection", "Tuberculosis", "Metastasis"
C, "MRI neck", "Anthropometry ", "ANC USG"
B, "8 days", "8 months", "8 weeks"
C, "Rheumatoid", "Psoriasis", "Alkaptonuria"
B, "Unipolar depression", "Mania", "Bipolar depression"
B, "Ether addiction", "None", "Excessive ether use drug anaesthesia"
C, "Bleuler", "Schneider", "Kraepelin"
A, "Skinner", "Blueler", "Wayker"
B, "Alzheimer's disease", "Huntingtons chorea", "Wilson's disease"
B, "Chronic use of amhetamine", "Cannabis poisoning", "Alcohol withdrawal"
B, "Thiamine", "Niacin", "Riboflavin"
B, "Diacetylmorphine", "Bupremorphine", "Oxycodine"
A, "Morphine", "Chlorpromazine", "Paraxetine"
A, "Psychosis", "None", "Personality disorder"
C, "Delusion", "Motor hyperactivity", "Ambivalance"
D, "Paranoid schizophrenia", "Pfropf schizophrenia", "Catatonic schizophrenia"
A, "Unipolar mania", "Obsessive compulsive disorder", "Neurosis"
A, "Acetylcholine", "GABA", "Dopamine"
A, "Histamine", "none", "acetylcholine"
C, "Younger age", "All of the above", "Severe depression"
B, "Obsession", "Anxiety", "Compulsion"
B, "Compulsion", "None", "Anxiety"
A, "Personality disorders", "None", "Mania"
D, "Fear of animal", "Neurosis", "Anxiety"
C, "Somatization", "Conversion disorder", "Hypochondriasis"
A, "4-Pain symptoms", "1-Pseudo neurological symptom", "1-Sexual symptom"
C, "Prone to fantasy", "Introspective", "Suspicious"
A, "Neocortex", "Medulla oblongata", "Cerebellum"
B, "II", "IV", "III"
A, "Narcolepsy", "Sleep paralysis", "Nightmares"
C, "Nocturnal enuresis", "Sleep apnoea", "Grinding of teeth during sleep"
B, "Sleep architecture normal", "Hallucination", "Loss of muscle tone"
A, "PIPE therapy", "Squeeze technique", "Sildenafil induced erection"
C, "Psychoanalysis", "None", "Behavioral therapy"
D, "Speech developmental disorder", "ADHD", "Pervasive disorder"
D, "Anxiety", "Hypersomnia", "Depression"
B, "F", "G", "P"
D, "Haloperidol", "Lithium carbonate", "Diazepam"
B, "2 weeks", "4 weeks", "3 weeks"
C, "Specialized", "Dense regular", "Dense irregular"
